recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-24 11:29,64.24074074,27.28395062,27.48148148,60.52777778,26.30864198,26.56790124,41.37345679,17.22839506,17.11728395,9,20
2021-02-24 11:59,72.66358025,32.15432099,32.32407408,64.56790123,29.31481482,29.35185185,42.54012346,18.68827161,18.36111111,15,21
2021-02-24 12:29,69.92901235,28.59567902,28.87962963,65.02469136,27.56790124,27.62654321,47.14197531,19.44753086,19.23765432,6,12
2021-02-24 12:59,68.99421297,28.97415123,29.42515432,59.48611112,26.05671297,26.08680556,39.63464506,17.11149692,16.82484568,12,20
2021-02-24 13:29,67.63194445,28.18981482,28.06867284,61.38387346,26.25154321,25.94675926,46.75848765,19.44212963,18.8283179,3,10
2021-02-24 13:59,68.9537037,27.94444444,28.17283951,61.24691358,25.60493828,25.74691358,43.42592593,18.06481482,17.65740741,4,4
2021-02-24 14:29,74.36111111,35.32407407,35.68518519,71.2962963,34.85185185,35.17592593,52.89814815,25.10185185,24.86111111,4,4
2021-02-24 14:59,78.12037037,35.05555556,39.07407408,77.18518519,35.72222223,39.40740741,66.5,30.31481482,33.20370371,1,5
2021-02-24 15:29,75.63580247,34.13580247,36.83950617,68.09567902,33.20061729,33.87345679,53.92592593,26.01851852,26.15740741,2,2
2021-02-24 15:59,77.36309524,35.44560185,37.25545635,72.25744048,34.1686508,35.60863095,59.01587302,26.7296627,28.28224207,6,3
2021-02-24 16:29,84.13095238,32.07539683,40.74338625,77.86507937,30.83597884,38.21031746,67.90608466,24.51190476,32.50264551,2,4
2021-02-24 16:59,85.21296297,27.55952381,40.92857143,76.42063492,27.9457672,37.25396826,68.06084656,21.03174604,31.69973545,0,0
2021-02-24 17:29,85.2962963,24.90740741,38.96296296,76.34259259,25.35185185,35.77777778,65.98148149,19.69444445,29.49074074,2,2
2021-02-24 17:59,88.45370371,26.62037037,42.22222222,80.55555556,23.92592593,39.12037037,74.46296297,18.23148148,35.09259259,0,3
2021-02-24 18:29,80.52777778,30.91666667,39.39814815,74.94444445,29.82407408,37.60185185,65.12037037,23.88888889,31.42592593,1,3
2021-02-24 18:59,65.29497355,27.49603175,27.66269841,59.36507937,25.85273369,25.92636684,44.03262787,19.12654321,18.7266314,2,0
2021-02-24 19:29,56.94753087,21.45987654,21.07407407,52.96296296,20.5308642,20.37037037,37.26234568,14.36728395,13.91666667,4,4
2021-02-24 19:59,45.99360671,16.73616623,16.12301587,40.52177028,15.12439374,14.58311288,23.60570988,8.976466049,8.28207672,3,5
2021-02-24 20:29,45.2962963,16.24074074,15.67901235,42.37654321,15.32098765,14.9691358,26.5462963,9.611111111,9.074074074,4,16
2021-02-24 20:59,36.08989198,13.8584105,13.07638889,34.37422839,13.22492284,12.44598766,22.2029321,8.308256173,7.660493827,7,19
2021-02-24 21:29,41.53395062,15.55246914,14.62654321,37.23765432,13.9845679,13.44135803,22.63271605,8.268518518,7.638888889,11,21
2021-02-24 21:59,30.40740741,11.69444445,10.7962963,31.87345679,12.30555556,11.57716049,16.3271605,6.413580247,5.734567901,13,27
2021-02-24 22:29,23.22530865,9.280864198,8.469135803,23.5462963,9.527777779,8.885802469,11.37345679,4.709876543,4.194444444,14,28
2021-02-24 22:59,16.73919753,6.674382716,6.031635803,17.79166667,7.243827161,6.716049383,8.520061728,3.452932099,3.071759259,11,16
2021-02-24 23:29,11.41975309,3.453703704,3.067901235,13.31944445,3.972222222,3.703703704,5.091049383,1.506172839,1.388888889,9,15
2021-02-25 00:29,7.926311728,2.411072531,2.118344908,9.287808643,2.958429784,2.716145834,2.991898148,0.983410494,0.826967593,18,24
2021-02-25 00:59,6.901234569,2.276234568,2.010802469,8.295194004,2.782848324,2.517857143,2.083112875,0.767636684,0.673500882,12,21
2021-02-25 01:29,4.633597884,1.603174603,1.418209877,8.453924163,2.89329806,2.615740741,1.292989418,0.474206349,0.397486773,12,15
2021-02-25 01:59,3.49537037,0.951587301,0.825992064,5.992063492,1.509854498,1.443518519,0.787962963,0.211111111,0.184722222,11,24
2021-02-25 02:29,3.458796296,0.963756614,0.866203704,4.949603174,1.340939153,1.24186508,0.741071429,0.217195767,0.201322751,6,16
2021-02-25 02:59,3.084656085,0.775,0.702579365,6.007010582,1.43505291,1.349933862,0.778306878,0.217989418,0.202910053,10,15
2021-02-25 03:29,3.046375661,0.810859788,0.728214286,4.448293651,1.178267196,1.069589947,1.286044974,0.320568783,0.298161375,9,21
2021-02-25 03:59,3.512301587,0.817857143,0.737301587,5.156216931,1.241137566,1.154431217,1.441005291,0.396296296,0.346296296,10,14
2021-02-25 04:29,5.254828042,1.283465609,1.085648148,6.443849206,1.55218254,1.43260582,1.303240741,0.389351852,0.311111111,6,7
2021-02-25 04:59,15.16296296,4.126234568,3.634259259,13.45833333,3.589197531,3.259259259,7.042901235,1.874382716,1.692901235,10,17
